"","Year","Month","Day","Maximum.temperature..Degree.C."
"394",2014,"June",29,11.1
"395",2014,"June",30,13.2
"396",2014,"July",1,13.3
"397",2014,"July",2,16.7
"398",2014,"July",3,13.1
"399",2014,"July",4,12.8
"400",2014,"July",5,15.3
"401",2014,"July",6,13.8
"402",2014,"July",7,15.8
"403",2014,"July",8,15.1
"404",2014,"July",9,11.7
"405",2014,"July",10,14.7
"406",2014,"July",11,14.6
"407",2014,"July",12,10.4
"408",2014,"July",13,13.6
"409",2014,"July",14,13.5
"410",2014,"July",15,13.2
"411",2014,"July",16,14.7
"412",2014,"July",17,12.3
"413",2014,"July",18,12.5
"414",2014,"July",19,12.7
"415",2014,"July",20,13.7
"416",2014,"July",21,12.9
"417",2014,"July",22,12.2
"418",2014,"July",23,14.1
"419",2014,"July",24,15
"420",2014,"July",25,16.4
"421",2014,"July",26,14.8
"422",2014,"July",27,16.8
"423",2014,"July",28,16.9
"424",2014,"July",29,16.8
"425",2014,"July",30,19.3
"426",2014,"July",31,19.7
"427",2014,"August",1,10.1
"428",2014,"August",2,11.9
"429",2014,"August",3,14.4
"430",2014,"August",4,14.9
"431",2014,"August",5,16.8
"432",2014,"August",6,16
"433",2014,"August",7,14.1
"434",2014,"August",8,16.3
"435",2014,"August",9,15.2
"436",2014,"August",10,12.2
"437",2014,"August",11,12.2
"438",2014,"August",12,11.9
"439",2014,"August",13,13.5
"440",2014,"August",14,13.7
"441",2014,"August",15,16.9
"442",2014,"August",16,11.7
"443",2014,"August",17,15
"444",2014,"August",18,13.5
"445",2014,"August",19,13.4
"446",2014,"August",20,12.6
"447",2014,"August",21,17.8
"448",2014,"August",22,20.2
"449",2014,"August",23,20.7
"450",2014,"August",24,15.5
"451",2014,"August",25,16.6
"452",2014,"August",26,17.6
"453",2014,"August",27,17.4
"454",2014,"August",28,18.8
"455",2014,"August",29,14.9
"456",2014,"August",30,21.1
"457",2014,"August",31,21.8
"458",2014,"September",1,15.5
"459",2014,"September",2,14.2
"460",2014,"September",3,13.8
"461",2014,"September",4,14.3
"462",2014,"September",5,15.1
"463",2014,"September",6,18.1
"464",2014,"September",7,20.8
"465",2014,"September",8,21.5
"466",2014,"September",9,20.1
"467",2014,"September",10,19.3
"468",2014,"September",11,16.4
"469",2014,"September",12,15.5
"470",2014,"September",13,17.2
"471",2014,"September",14,19.8
"472",2014,"September",15,18.4
"473",2014,"September",16,14.8
"474",2014,"September",17,15.9
"475",2014,"September",18,13.5
"476",2014,"September",19,14.7
"477",2014,"September",20,15.1
"478",2014,"September",21,16.4
"479",2014,"September",22,23.3
"480",2014,"September",23,25.7
"481",2014,"September",24,23.8
"482",2014,"September",25,15.4
"483",2014,"September",26,18.7
"484",2014,"September",27,23.2
"485",2014,"September",28,28
"486",2014,"September",29,23.3
"487",2014,"September",30,24
"488",2014,"October",1,15.2
"489",2014,"October",2,17.1
"490",2014,"October",3,19.6
"491",2014,"October",4,26.3
"492",2014,"October",5,17.4
"493",2014,"October",6,25.4
"494",2014,"October",7,17.2
"495",2014,"October",8,18.6
"496",2014,"October",9,21.9
"497",2014,"October",10,24.5
"498",2014,"October",11,20
"499",2014,"October",12,26.9
"500",2014,"October",13,14.6
"501",2014,"October",14,15.6
"502",2014,"October",15,15.4
"503",2014,"October",16,15.6
"504",2014,"October",17,16.3
"505",2014,"October",18,24.6
"506",2014,"October",19,29.2
"507",2014,"October",20,20.7
"508",2014,"October",21,28.2
"509",2014,"October",22,32.3
"510",2014,"October",23,22.3
"511",2014,"October",24,30.3
"512",2014,"October",25,18.2
"513",2014,"October",26,24.7
"514",2014,"October",27,19.4
"515",2014,"October",28,19.5
"516",2014,"October",29,21.8
"517",2014,"October",30,21.3
"518",2014,"October",31,32.3
"519",2014,"November",1,17.2
"520",2014,"November",2,15.4
"521",2014,"November",3,23.1
"522",2014,"November",4,28.8
"523",2014,"November",5,16.8
"524",2014,"November",6,22.5
"525",2014,"November",7,32.1
"526",2014,"November",8,34.9
"527",2014,"November",9,17.5
"528",2014,"November",10,19.6
"529",2014,"November",11,17
"530",2014,"November",12,22.8
"531",2014,"November",13,30.6
"532",2014,"November",14,18.9
"533",2014,"November",15,17.6
"534",2014,"November",16,17.6
"535",2014,"November",17,19.1
"536",2014,"November",18,19.9
"537",2014,"November",19,29.2
"538",2014,"November",20,28.4
"539",2014,"November",21,22.2
"540",2014,"November",22,31
"541",2014,"November",23,24.5
"542",2014,"November",24,19.7
"543",2014,"November",25,20.9
"544",2014,"November",26,18.9
"545",2014,"November",27,18.3
"546",2014,"November",28,18.8
"547",2014,"November",29,24.1
"548",2014,"November",30,35
"549",2014,"December",1,28.1
"550",2014,"December",2,24.3
"551",2014,"December",3,23.9
"552",2014,"December",4,25.6
"553",2014,"December",5,20.4
"554",2014,"December",6,22.7
"555",2014,"December",7,17.8
"556",2014,"December",8,20.1
"557",2014,"December",9,19
"558",2014,"December",10,20
"559",2014,"December",11,19.8
"560",2014,"December",12,26.6
"561",2014,"December",13,30.7
"562",2014,"December",14,25.1
"563",2014,"December",15,22.9
"564",2014,"December",16,32.3
"565",2014,"December",17,21.6
"566",2014,"December",18,24.8
"567",2014,"December",19,19.3
"568",2014,"December",20,22.5
"569",2014,"December",21,33.1
"570",2014,"December",22,23.6
"571",2014,"December",23,26.5
"572",2014,"December",24,21.3
"573",2014,"December",25,23
"574",2014,"December",26,18.9
"575",2014,"December",27,21.1
"576",2014,"December",28,32
"577",2014,"December",29,26.2
"578",2014,"December",30,23.4
"579",2014,"December",31,25.3
"580",2015,"January",1,26.9
"581",2015,"January",2,38.8
"582",2015,"January",3,38.2
"583",2015,"January",4,21.4
"584",2015,"January",5,22
"585",2015,"January",6,26
"586",2015,"January",7,37.4
"587",2015,"January",8,28.2
"588",2015,"January",9,18
"589",2015,"January",10,21.7
"590",2015,"January",11,27.5
"591",2015,"January",12,31.3
"592",2015,"January",13,25.6
"593",2015,"January",14,22.7
"594",2015,"January",15,20
"595",2015,"January",16,27.3
"596",2015,"January",17,25
"597",2015,"January",18,19.5
"598",2015,"January",19,23.6
"599",2015,"January",20,30.4
"600",2015,"January",21,33.1
"601",2015,"January",22,35.8
"602",2015,"January",23,25
"603",2015,"January",24,26.3
"604",2015,"January",25,22
"605",2015,"January",26,19.8
"606",2015,"January",27,19.1
"607",2015,"January",28,25.4
"608",2015,"January",29,22.2
"609",2015,"January",30,21
"610",2015,"January",31,20.2
"611",2015,"February",1,19
"612",2015,"February",2,21.1
"613",2015,"February",3,20
"614",2015,"February",4,19
"615",2015,"February",5,24.2
"616",2015,"February",6,35.7
"617",2015,"February",7,35
"618",2015,"February",8,21.5
"619",2015,"February",9,28.3
"620",2015,"February",10,27.8
"621",2015,"February",11,26.8
"622",2015,"February",12,21.9
"623",2015,"February",13,32.4
"624",2015,"February",14,25.1
"625",2015,"February",15,34.4
"626",2015,"February",16,24.6
"627",2015,"February",17,20.6
"628",2015,"February",18,21.2
"629",2015,"February",19,26.9
"630",2015,"February",20,25.3
"631",2015,"February",21,36.1
"632",2015,"February",22,35.3
"633",2015,"February",23,29.3
"634",2015,"February",24,20.1
"635",2015,"February",25,27
"636",2015,"February",26,23.2
"637",2015,"February",27,24.3
"638",2015,"February",28,32.3
"639",2015,"March",1,20.8
"640",2015,"March",2,23
"641",2015,"March",3,22.7
"642",2015,"March",4,23.5
"643",2015,"March",5,18.6
"644",2015,"March",6,21.1
"645",2015,"March",7,22.6
"646",2015,"March",8,24.4
"647",2015,"March",9,23.8
"648",2015,"March",10,21.7
"649",2015,"March",11,23.8
"650",2015,"March",12,19.9
"651",2015,"March",13,20.4
"652",2015,"March",14,30.1
"653",2015,"March",15,18.3
"654",2015,"March",16,25.5
"655",2015,"March",17,26.2
"656",2015,"March",18,24.4
"657",2015,"March",19,33.5
"658",2015,"March",20,19.6
"659",2015,"March",21,22.7
"660",2015,"March",22,28.8
"661",2015,"March",23,27
"662",2015,"March",24,15.3
"663",2015,"March",25,20.4
"664",2015,"March",26,18
"665",2015,"March",27,18.1
"666",2015,"March",28,19.1
"667",2015,"March",29,22.7
"668",2015,"March",30,23.1
"669",2015,"March",31,25.3
"670",2015,"April",1,29
"671",2015,"April",2,17.2
"672",2015,"April",3,20.9
"673",2015,"April",4,23.5
"674",2015,"April",5,18.5
"675",2015,"April",6,18.4
"676",2015,"April",7,17.3
"677",2015,"April",8,17.7
"678",2015,"April",9,19.1
"679",2015,"April",10,18.7
"680",2015,"April",11,23.7
"681",2015,"April",12,18.3
"682",2015,"April",13,19.1
"683",2015,"April",14,24.7
"684",2015,"April",15,27.6
"685",2015,"April",16,17.8
"686",2015,"April",17,17.1
"687",2015,"April",18,21.9
"688",2015,"April",19,14.7
"689",2015,"April",20,16.2
"690",2015,"April",21,17.7
"691",2015,"April",22,19.5
"692",2015,"April",23,19.2
"693",2015,"April",24,21.1
"694",2015,"April",25,15
"695",2015,"April",26,15.4
"696",2015,"April",27,15.1
"697",2015,"April",28,16
"698",2015,"April",29,17.1
"699",2015,"April",30,19.6
"700",2015,"May",1,23.1
"701",2015,"May",2,22.2
"702",2015,"May",3,18.2
"703",2015,"May",4,22.3
"704",2015,"May",5,18.1
"705",2015,"May",6,16.2
"706",2015,"May",7,15.6
"707",2015,"May",8,15.9
"708",2015,"May",9,18.7
"709",2015,"May",10,16.6
